Name,Type,HBCU,HSI,Average_Total_Cost,Instructional_Expenditure,Faculty_Salary,Pell_Grant,Federal_Loan,logEndowment
Faith Baptist Bible College and Theological Seminary,Private,No,No,28069,6135,5221,0.5488,0.4146,6.651
Graceland University-Lamoni,Private,No,No,43960,9067,6343,0.4611,0.8394,7.71
Grand View University,Private,No,No,39864,6815,6744,0.4121,0.7606,7.41
Grinnell College,Private,No,No,70346,29667,11346,0.1808,0.3682,9.316
Iowa State University,Public,No,No,21740,10386,11366,0.198,0.4967,9.024
Iowa Wesleyan University,Private,No,No,45994,6529,5724,0.6623,0.8212,7.241
University of Iowa,Public,No,No,24806,14478,11790,0.1886,0.4599,9.198
Luther College,Private,No,No,57885,13252,7669,0.2448,0.6452,8.213
University of Northern Iowa,Public,No,No,21047,10377,8407,0.2292,0.5258,8.11
Northwestern College,Private,No,No,45760,8668,6773,0.2901,0.6416,7.753
Saint Ambrose University,Private,No,No,46894,10131,7481,0.2274,0.7179,8.234
Simpson College,Private,No,No,53845,10093,6636,0.476,0.7534,7.923
Upper Iowa University,Private,No,No,45237,4408,5874,0.3725,0.8284,7.275
Wartburg College,Private,No,No,55508,9075,6863,0.2374,0.6717,7.883
Baker University,Private,No,No,44473,7084,6193,0.2951,0.5656,7.64
Benedictine College,Private,No,No,46309,7442,6707,0.2118,0.5324,7.453
Bethel College-North Newton,Private,No,No,43795,8256,5634,0.4323,0.7355,7.277
Friends University,Private,No,No,39879,5273,6591,0.4261,0.5966,7.727
University of Kansas,Public,No,No,26204,19922,10346,0.1986,0.4207,9.265
Ottawa University-Ottawa,Private,No,No,47369,2616,6325,0.4341,0.9725,6.537
University of Saint Mary,Private,No,No,42175,8253,6337,0.3826,0.9799,7.204
Southwestern College,Private,No,No,46869,7411,6171,0.5438,0.775,7.444
Sterling College,Private,No,No,40406,5330,4564,0.4604,0.7626,7.238
Tabor College,Private,No,No,44240,6224,5117,0.5625,0.7266,7.04
Wichita State University,Public,No,No,20418,8293,8153,0.3525,0.5107,8.441
Alice Lloyd College,Private,No,No,25490,5053,4979,0.608,0.5327,7.654
Asbury University,Private,No,No,42462,9616,6622,0.3448,0.7034,7.74
Bellarmine University,Private,No,No,56319,9382,7968,0.2419,0.6071,7.822
Berea College,Private,No,No,54866,16925,8209,0.8959,0.0969,9.086
Brescia University,Private,No,No,36939,6604,5681,0.34,0.4933,7.11
Centre College,Private,No,No,56645,19085,8297,0.231,0.5127,8.519
University of the Cumberlands,Private,No,No,23624,2144,5651,0.545,0.6177,7.908
Eastern Kentucky University,Public,No,No,23384,8131,7146,0.4715,0.5781,7.837
Kentucky State University,Public,Yes,No,16885,6287,6736,0.734,0.7506,7.268
Kentucky Wesleyan College,Private,No,No,40177,4854,5455,0.4426,0.7377,7.55
University of Kentucky,Public,No,No,30178,13044,10906,0.2305,0.4525,9.142
Kentucky Christian University,Private,No,No,34496,5775,4775,0.4233,0.6884,6.811
University of Louisville,Public,No,No,28247,16532,8093,0.3504,0.4319,8.857
Midway University,Private,No,No,41077,5429,6894,0.4633,0.7569,7.469
Murray State University,Public,No,No,21349,9010,6535,0.3829,0.4904,7.954
Northern Kentucky University,Public,No,No,17869,8497,7787,0.3531,0.5322,8.026
Spalding University,Private,No,No,38163,10118,7382,0.5368,0.6691,7.317
Transylvania University,Private,No,No,53097,11025,7628,0.2948,0.6418,8.282
Western Kentucky University,Public,No,No,21084,9366,7804,0.384,0.5243,7.193
Centenary College of Louisiana,Private,No,No,55300,11406,7092,0.4302,0.7326,8.124
Dillard University,Private,Yes,No,33421,7446,6619,0.7444,0.8211,7.974
Grambling State University,Public,Yes,No,24332,4387,5993,0.8308,0.902,6.86
Louisiana State University-Alexandria,Public,No,No,14207,4913,6012,0.5214,0.4095,7.28
Louisiana State University and Agricultural & Mechanical College,Public,No,No,32724,9626,10089,0.2888,0.3353,8.751
Louisiana State University-Shreveport,Public,No,No,19065,6067,8091,0.4804,0.2417,7.375
Louisiana College,Private,No,No,27669,8420,5746,0.564,0.744,7.588
Louisiana Tech University,Public,No,No,21927,6445,7908,0.3004,0.4247,7.879
Loyola University New Orleans,Private,No,No,54417,11134,8463,0.4111,0.6433,8.342
McNeese State University,Public,No,No,19489,4616,6909,0.3677,0.4542,7.333
University of New Orleans,Public,No,No,20864,6284,8204,0.5572,0.4179,7.348
Nicholls State University,Public,No,No,21275,5545,6437,0.4199,0.4814,6.939
University of Louisiana at Monroe,Public,No,No,20851,6831,7378,0.4568,0.463,7.514
Northwestern State University of Louisiana,Public,No,No,22940,5018,6485,0.5806,0.5777,7.21
Southern University and A & M College,Public,Yes,No,23592,5100,7042,0.8023,0.8751,6.981
University of Louisiana at Lafayette,Public,No,No,22948,8196,8214,0.4007,0.4909,8.123
Tulane University of Louisiana,Private,No,No,75628,28832,12085,0.0769,0.2592,9.153
Xavier University of Louisiana,Private,Yes,No,36391,9536,9272,0.5664,0.7089,8.233
Colby College,Private,No,No,73600,22874,11579,0.1799,0.118,8.939
